Timestamp,Temperature(C),Humidity(%),MQ4_Voltage(V),MQ4_PPM,MQ7_Voltage(V),MQ7_CO_PPM
2025-07-05 06:55:54,18.2,71.3,0.35,9.16,0.09,1.01
2025-07-05 07:25:54,18.3,71.3,0.33,8.48,0.08,0.80
2025-07-05 07:55:54,18.3,71.3,0.32,7.65,0.09,0.96
2025-07-05 08:25:54,18.2,71.3,0.36,10.03,0.09,1.04
2025-07-05 08:55:54,18.1,71.3,0.35,9.57,0.09,0.97
2025-07-05 09:25:54,18.1,71.3,0.32,7.78,0.09,1.01
2025-07-05 09:55:54,18.2,71.3,0.32,7.69,0.08,0.86
2025-07-05 10:25:54,18.3,71.3,0.29,6.30,0.08,0.84
2025-07-05 10:55:54,18.4,71.3,0.29,6.26,0.07,0.68
2025-07-05 11:25:54,18.6,71.3,0.28,5.84,0.08,0.78
2025-07-05 11:55:54,18.8,62.5,0.23,3.63,0.05,0.41
2025-07-11 15:53:43,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-11 16:23:43,20.7,71.3,0.38,5.91,0.31,0.69
2025-07-11 16:53:43,20.1,71.3,0.36,5.34,0.30,0.65
2025-07-11 17:23:43,19.9,71.3,0.37,5.68,0.31,0.71
2025-07-11 17:53:43,19.7,71.3,0.37,5.71,0.31,0.69
2025-07-11 18:23:43,19.9,71.3,0.38,5.85,0.31,0.71
2025-07-11 18:53:43,19.9,71.3,0.38,5.97,0.32,0.72
2025-07-11 19:23:43,19.9,71.3,0.38,5.88,0.32,0.72
2025-07-11 19:53:43,19.9,71.3,0.39,6.09,0.31,0.71
2025-07-11 20:06:42,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-11 20:07:44,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-05 13:33:32,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-08 16:24:47,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-08 16:54:47,0.0,0.0,0.49,5.45,0.38,0.58
2025-07-12 06:17:20,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-12 06:47:20,18.8,71.3,0.55,5.86,0.41,0.66
2025-07-12 07:17:20,18.9,71.3,0.56,6.04,0.40,0.64
2025-07-12 07:47:20,18.8,71.3,0.56,6.10,0.41,0.66
2025-07-12 08:17:20,18.7,71.3,0.56,5.99,0.40,0.65
2025-07-12 08:47:20,18.7,71.3,0.57,6.44,0.42,0.69
2025-07-12 09:17:20,18.6,71.3,0.56,6.06,0.41,0.67
2025-07-12 09:47:20,18.7,71.3,0.52,4.90,0.38,0.57
2025-07-12 10:17:20,18.7,71.3,0.52,5.03,0.37,0.56
