datetime_h,CO_ppm_corrigido_sensores,CO_ppm_corrigido_cetesb,Sensores_Calibrados
2025-07-02 19:00:00,0.6472222222222223,1.238709677419355,0.8511610218257675
2025-07-02 20:00:00,0.64375,1.1548387096774195,0.8520024720657314
2025-07-02 21:00:00,0.6736842105263158,1.058064516129032,0.8447482852601474
2025-07-02 22:00:00,0.6973333333333334,1.0225806451612902,0.8390172119626076
2025-07-02 23:00:00,0.7509090909090909,1.0066666666666666,0.8260337877509164
2025-07-03 01:00:00,0.647,0.6655172413793103,0.8512148746411252
2025-07-03 02:00:00,0.6671428571428571,0.5448275862068965,0.8463335015919171
2025-07-03 04:00:00,0.6584210526315789,0.4148148148148148,0.8484471233676101
2025-07-03 05:00:00,0.7152941176470589,0.5259259259259259,0.8346646373566388
2025-07-03 10:00:00,0.6372222222222222,0.9166666666666666,0.8535843985168636
2025-07-03 11:00:00,0.6759999999999999,0.8214285714285714,0.8441870822369462
2025-07-03 13:00:00,0.8313636363636363,0.7000000000000001,0.8065366207361879
2025-07-03 14:00:00,0.7804545454545455,0.7,0.8188738111635867
2025-07-03 15:00:00,1.363809523809524,0.7310344827586207,0.6775049254455481
2025-07-03 16:00:00,0.6789473684210526,0.7967741935483871,0.843472823843781
2025-07-03 17:00:00,0.6488235294117647,0.9250000000000002,0.8507729647739253
2025-07-03 18:00:00,0.578125,1.05625,0.8679058816010503
2025-07-03 19:00:00,0.6472222222222223,1.238709677419355,0.8511610218257675
2025-07-03 20:00:00,0.64375,1.1548387096774195,0.8520024720657314
2025-07-03 21:00:00,0.6736842105263158,1.058064516129032,0.8447482852601474
2025-07-03 22:00:00,0.6973333333333334,1.0225806451612902,0.8390172119626076
2025-07-03 23:00:00,0.7509090909090909,1.0066666666666666,0.8260337877509164
2025-07-04 00:00:00,0.71125,0.84,0.8356446794008321
2025-07-04 01:00:00,0.647,0.6655172413793103,0.8512148746411252
2025-07-04 02:00:00,0.6671428571428571,0.5448275862068965,0.8463335015919171
2025-07-04 03:00:00,0.71625,0.4111111111111111,0.8344329910552839
2025-07-04 04:00:00,0.658421052631579,0.4148148148148148,0.8484471233676101
2025-07-04 05:00:00,0.7152941176470589,0.5259259259259259,0.8346646373566388
2025-07-04 06:00:00,1.1894444444444443,0.7444444444444445,0.7197601523529955
2025-07-04 07:00:00,0.7723529411764708,0.8576923076923078,0.8208371350603838
2025-07-04 08:00:00,0.7899999999999999,0.9407407407407408,0.8165605879584494
2025-07-04 09:00:00,0.6347368421052632,0.9266666666666666,0.8541866997412589
2025-07-04 10:00:00,0.6372222222222222,0.9166666666666664,0.8535843985168636
2025-07-04 11:00:00,0.6759999999999999,0.8214285714285714,0.8441870822369462
2025-07-04 12:00:00,0.6177272727272727,0.7586206896551724,0.8583087591368795
2025-07-04 13:00:00,0.8313636363636363,0.7000000000000001,0.8065366207361879
2025-07-04 14:00:00,0.7804545454545455,0.7,0.8188738111635867
2025-07-04 15:00:00,1.3638095238095238,0.7310344827586207,0.6775049254455481
2025-07-04 16:00:00,0.6789473684210526,0.7967741935483871,0.843472823843781
2025-07-04 17:00:00,0.6488235294117647,0.925,0.8507729647739253
2025-07-04 19:00:00,0.6472222222222223,1.238709677419355,0.8511610218257675
2025-07-04 20:00:00,0.64375,1.1548387096774198,0.8520024720657314
2025-07-04 21:00:00,0.6736842105263158,1.058064516129032,0.8447482852601474
2025-07-04 22:00:00,0.6973333333333334,1.0225806451612902,0.8390172119626076
2025-07-05 04:00:00,0.6584210526315789,0.4148148148148148,0.8484471233676101
2025-07-05 05:00:00,0.7152941176470589,0.5259259259259259,0.8346646373566388
2025-07-05 06:00:00,1.1894444444444443,0.7444444444444446,0.7197601523529955
2025-07-05 07:00:00,0.7723529411764707,0.8576923076923078,0.8208371350603839
2025-07-05 08:00:00,0.7899999999999999,0.9407407407407408,0.8165605879584494
2025-07-05 09:00:00,0.6347368421052632,0.9266666666666664,0.8541866997412589
2025-07-05 10:00:00,0.6372222222222222,0.9166666666666664,0.8535843985168636
2025-07-05 11:00:00,0.6759999999999999,0.8214285714285714,0.8441870822369462
2025-07-05 14:00:00,0.7804545454545455,0.7000000000000001,0.8188738111635867
2025-07-05 15:00:00,1.3638095238095238,0.7310344827586207,0.6775049254455481
2025-07-05 16:00:00,0.6789473684210526,0.7967741935483871,0.843472823843781
2025-07-05 17:00:00,0.6488235294117647,0.925,0.8507729647739253
2025-07-05 18:00:00,0.578125,1.05625,0.8679058816010503
2025-07-05 19:00:00,0.6472222222222223,1.238709677419355,0.8511610218257675
2025-07-05 20:00:00,0.64375,1.1548387096774195,0.8520024720657314
2025-07-05 21:00:00,0.6736842105263158,1.058064516129032,0.8447482852601474
2025-07-05 22:00:00,0.6973333333333332,1.0225806451612902,0.8390172119626076
2025-07-06 21:00:00,0.6736842105263158,1.058064516129032,0.8447482852601474
2025-07-06 22:00:00,0.6973333333333334,1.0225806451612902,0.8390172119626076
2025-07-06 23:00:00,0.7509090909090909,1.0066666666666666,0.8260337877509164
2025-07-07 00:00:00,0.71125,0.8399999999999999,0.8356446794008321
2025-07-07 01:00:00,0.647,0.6655172413793103,0.8512148746411252
2025-07-07 02:00:00,0.6671428571428571,0.5448275862068965,0.8463335015919171
2025-07-07 03:00:00,0.71625,0.4111111111111111,0.8344329910552839
2025-07-07 04:00:00,0.6584210526315789,0.4148148148148148,0.8484471233676101
2025-07-07 05:00:00,0.7152941176470589,0.5259259259259259,0.8346646373566388
2025-07-07 06:00:00,1.1894444444444443,0.7444444444444446,0.7197601523529955
