Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;116
Nome da estação:;São José do Rio Preto

Data;Hora;Média Horária
;;TEMP(Temperatura do Ar) - °C
10/07/2025;15:00;27,8
10/07/2025;16:00;27,7
10/07/2025;17:00;27,5
10/07/2025;18:00;26,0
10/07/2025;19:00;23,7
10/07/2025;20:00;22,0
10/07/2025;21:00;21,1
10/07/2025;22:00;19,8
10/07/2025;23:00;19,1
10/07/2025;24:00;18,9
11/07/2025;01:00;17,8
11/07/2025;02:00;17,0
11/07/2025;03:00;16,5
11/07/2025;04:00;16,0
11/07/2025;05:00;15,3
11/07/2025;06:00;14,9
11/07/2025;07:00;14,2
11/07/2025;08:00;14,8
11/07/2025;09:00;18,1
11/07/2025;10:00;21,1
11/07/2025;11:00;23,9
11/07/2025;12:00;26,3
11/07/2025;13:00;27,9
11/07/2025;14:00;28,2
11/07/2025;15:00;28,1
11/07/2025;16:00;28,4
11/07/2025;17:00;27,8
11/07/2025;18:00;26,3
11/07/2025;19:00;25,2
11/07/2025;20:00;24,6
11/07/2025;21:00;23,9
11/07/2025;22:00;23,3
11/07/2025;23:00;22,7
11/07/2025;24:00;22,2
12/07/2025;01:00;21,2
12/07/2025;02:00;20,6
12/07/2025;03:00;20,1
12/07/2025;04:00;19,5
12/07/2025;05:00;18,6
12/07/2025;06:00;17,4
12/07/2025;07:00;17,5
12/07/2025;08:00;18,0
12/07/2025;09:00;19,8
12/07/2025;10:00;21,4
12/07/2025;11:00;22,7
12/07/2025;12:00;24,7
12/07/2025;13:00;26,2
12/07/2025;14:00;27,2
12/07/2025;15:00;26,9
12/07/2025;16:00;26,4
12/07/2025;17:00;26,0
12/07/2025;18:00;25,2
12/07/2025;19:00;24,0
12/07/2025;20:00;22,7
12/07/2025;21:00;21,4
12/07/2025;22:00;20,9
12/07/2025;23:00;20,4
12/07/2025;24:00;20,1
13/07/2025;01:00;20,2
13/07/2025;02:00;20,2
13/07/2025;03:00;19,8
13/07/2025;04:00;20,0
13/07/2025;05:00;19,8
13/07/2025;06:00;19,2
13/07/2025;07:00;19,0
13/07/2025;08:00;19,2
13/07/2025;09:00;20,1
13/07/2025;10:00;21,3
13/07/2025;11:00;22,4
13/07/2025;12:00;23,5
13/07/2025;13:00;25,5
13/07/2025;14:00;27,3
13/07/2025;15:00;27,6
13/07/2025;16:00;27,5
13/07/2025;17:00;26,9
13/07/2025;18:00;25,4
13/07/2025;19:00;24,0
13/07/2025;20:00;23,1
13/07/2025;21:00;22,3
13/07/2025;22:00;22,0
13/07/2025;23:00;21,9
13/07/2025;24:00;21,8
14/07/2025;01:00;21,3
14/07/2025;02:00;21,0
14/07/2025;03:00;20,7
14/07/2025;04:00;20,5
14/07/2025;05:00;20,0
14/07/2025;06:00;19,9
14/07/2025;07:00;19,8
14/07/2025;08:00;19,9
14/07/2025;09:00;20,0
14/07/2025;10:00;20,5
14/07/2025;11:00;20,9
14/07/2025;12:00;22,1
14/07/2025;13:00;23,8
14/07/2025;14:00;25,8
14/07/2025;15:00;26,8
14/07/2025;16:00;26,9
14/07/2025;17:00;26,6
14/07/2025;18:00;25,8
14/07/2025;19:00;24,4
14/07/2025;20:00;23,5
14/07/2025;21:00;22,9
14/07/2025;22:00;22,2
14/07/2025;23:00;21,8
14/07/2025;24:00;21,2
15/07/2025;01:00;20,6
15/07/2025;02:00;19,4
15/07/2025;03:00;18,4
15/07/2025;04:00;17,8
15/07/2025;05:00;17,4
15/07/2025;06:00;17,3
15/07/2025;07:00;17,1
15/07/2025;08:00;17,3
15/07/2025;09:00;20,1
15/07/2025;10:00;22,2
15/07/2025;11:00;25,0
15/07/2025;12:00;26,9
15/07/2025;13:00;28,0
15/07/2025;14:00;28,3
15/07/2025;15:00;29,2
15/07/2025;16:00;29,2
15/07/2025;17:00;28,1
15/07/2025;18:00;26,7
15/07/2025;19:00;24,9
15/07/2025;20:00;22,6
15/07/2025;21:00;20,8
15/07/2025;22:00;19,5
15/07/2025;23:00;18,9
15/07/2025;24:00;18,2
16/07/2025;01:00;18,1
16/07/2025;02:00;17,2
16/07/2025;03:00;16,9
16/07/2025;04:00;16,7
16/07/2025;05:00;16,7
16/07/2025;06:00;16,2
16/07/2025;07:00;16,5
16/07/2025;08:00;16,6
16/07/2025;09:00;19,1
16/07/2025;10:00;22,0
16/07/2025;11:00;24,8
16/07/2025;12:00;27,0
16/07/2025;13:00;28,1
16/07/2025;14:00;28,7
16/07/2025;15:00;28,7
16/07/2025;16:00;29,0
16/07/2025;17:00;28,7
16/07/2025;18:00;27,1
16/07/2025;19:00;24,3
