,mean,var,q1,q3
Temperature(C),20.292718446601942,2.0204334679800633,19.3,21.0
Humidity(%),64.18932038834951,50.85983700659059,58.3,71.3
MQ4_PPM,5.760145631067961,5.741346450759456,4.34,6.96
MQ7_CO_PPM,0.7470388349514563,0.7920301396073987,0.56,0.81
